,ID,Document,Word,Entities,Keyword
0,479,2,12 Sezon,0,0
1,2330,15,A ekiplerinden,0,0
2,876,4,isimli ikinci albümünden,0,0
3,2438,16,farklı noktalarında görülen,0,0
4,261,1,Öte yandan,0,0
5,2004,13,verme,0,0
6,783,3,şarkıyla açılış yapan,0,0
7,1717,10,salonları 1 Temmuz,0,0
8,2339,15,getirildiğini açıkladı,0,0
9,2129,13,krediler üzerinden sağlıyor,0,0
10,1947,12,bir parçası birleştirici,0,0
11,1019,5,çıkagelmişti Sebebi dönüşlerini,0,0
12,100,1,Film,0,0
13,1487,9,Snidero,0,0
14,1697,10,00 21,0,0
15,1632,10,saatleri,0,0
16,872,4,Temmuz yayımlayacağını duyurduğu,0,0
17,2518,17,Gıda Kent,0,0
18,791,3,bir klip eşliğinde,0,0
19,1339,8,yaratıcı bir,0,0
20,1404,8,insanın hayvanlarla kurduğu,0,0
21,414,2,ulaşan,0,0
22,1075,6,Holding tarafından,0,0
23,603,2,Fark Yaratanlar Programı,0,0
24,909,5,Kings,0,0
25,2111,13,tüketici kredisi vermek,0,0
26,2371,15,getirildiğini açıkladı Son,0,0
27,683,3,ta,0,0
28,1124,6,elde etmeyi hedefliyor,0,0
29,131,1,Audiard,0,0
30,2227,14,tasarısını onayladı,0,0
31,2087,13,Ant Group,1,1
32,1837,12,baget,0,1
33,1184,7,Billie Eilish,0,1
34,1318,8,Kısa Film,0,1
35,34,0,Ferit Karahan,0,1
36,798,4,Darkside,0,1
37,1002,5,Kings Of Convenience,0,1
38,1033,5,Kings Of Convenience,0,1
39,1782,11,Getir,0,1
40,1363,8,Kısa Film,0,1
41,1839,12,UNESCO,1,1
42,2402,16,müsilaj,0,1
43,1070,6,Krispy Kreme,1,1
44,1855,12,baget,0,1
45,246,1,Semih Kaplanoğlu,0,1
46,996,5,Kings Of Convenience,0,1
47,1162,7,Billie Eilish,0,1
48,2051,13,Ant Group,1,1
49,2416,16,Marmara Denizi,0,1
50,275,1,Jodie Foster,0,1
51,37,0,Okul Tıraşı,1,1
52,2336,15,Simone Inzaghi,0,1
53,675,3,Jungle,0,1
54,2299,15,Inter,1,1
55,280,1,Cannes Film Festivali,0,1
56,826,4,Darkside,0,1
57,1074,6,JAB Holding,1,1
58,2037,13,Ant Group,1,1
59,1056,6,Nasdaq,0,1
60,75,0,Fecr Film Festivali,0,1
61,2166,14,Danimarka,0,1
